scene,method,comparison,n,rmse,mae,bias,corr,r2
agriculture,psf_aware,estimated_vs_esri_psf,169654,0.011680949199971268,0.007574600209238114,2.6722273387281263e-06,0.9963794677059977,0.9921629182969243
agriculture,psf_aware_wide,estimated_vs_esri_no_psf,169654,0.03076447815215983,0.021384830449456046,5.392363366740306e-06,0.9773954067833573,0.948984191782876
agriculture,psf_aware_wide,estimated_vs_esri_psf,169654,0.03921869786255838,0.026750316161216193,6.806742249868863e-06,0.9633058285669939,0.911654497709661
agriculture,psf_aware_narrow,estimated_vs_esri_no_psf,169103,0.022408396552977116,0.013985682802159794,6.1081010114099576e-06,0.9865456126079655,0.9729310129254569
agriculture,psf_aware_narrow,estimated_vs_esri_psf,169103,0.008588767133941067,0.004891506860857172,4.0188386931374e-06,0.9978801290146511,0.9957627440571332
agriculture,richardson_lucy,estimated_vs_esri_no_psf,168371,0.01843588008856064,0.01182512560930821,0.00025552924545296443,0.9908788481997436,0.981689809681354
agriculture,richardson_lucy,estimated_vs_esri_psf,168371,0.004996496233035815,0.003170119708283483,0.00025594145024273294,0.9993446110332328,0.9985670779126196
agriculture,classical_nearest,estimated_vs_esri_no_psf,167788,0.02546268401399426,0.01558985558343259,1.44225810556882e-05,0.9825164939391372,0.9650928611055352
agriculture,classical_nearest,estimated_vs_esri_psf,167788,0.013427149950638288,0.007321511984037889,1.5050782860149561e-05,0.9948205884105129,0.9896580590677733
agriculture,classical_linear,estimated_vs_esri_no_psf,167788,0.023764762760980787,0.015241896178710182,8.470363552002331e-07,0.9850395511772986,0.9695930500524096
agriculture,classical_linear,estimated_vs_esri_psf,167788,0.00602489451518127,0.003774998514067623,1.4752381596615947e-06,0.9990058960408278,0.9979177480850079
agriculture,classical_cubic,estimated_vs_esri_no_psf,167788,0.02138358143957524,0.013651954932387434,-3.0319804270771158e-06,0.9878495113166338,0.9753812055176072
agriculture,classical_cubic,estimated_vs_esri_psf,167788,0.00304967258385746,0.0019014438345911454,-2.4037786226157543e-06,0.9997359628149057,0.9994664921598333
agriculture,esri_psf_degradation,esri_psf_vs_esri_no_psf,169654,0.019107733261030765,0.012175076293659918,-1.4143788831285581e-06,0.990347033141738,0.9803200493069578
